FilePath,AzureTags,AzureCategory,RoboflowCategory,OCRText,OCRCategory,FinalCategory
0_compressed.jpg,"'text' with confidence 99.99%, 'electronics' with confidence 99.46%, 'screenshot' with confidence 99.08%, 'software' with confidence 92.71%, 'operating system' with confidence 88.67%, 'computer icon' with confidence 88.65%, 'web page' with confidence 88.01%, 'website' with confidence 85.75%",animal,,"오전 12:41 5 월 2 일 화요일 사용하기 해지됨 i spotify.com Premium 개인 맞춤 플레이리스트 • 다운로드하여 오프라인에서 듣기. 언제든 해지 가능 요금제에 대해 더 알아보기 구독 중인 Premium 개인 요금제가 23. 5. 28.에 만료됩니다. 내 라이브러리의 콘텐츠를 계속 들으려면 요금제를 갱신하세요. 프리미엄 갱신하기 어디서든 로그아웃하기 이 기능을 사용하면 모바일, 태블릿, 웹 플레이어, 데스크톱 앱 등 Spotify 에 로그인된 모든 기기에서 로그아 웃할 수 있습니다. 단, 여기에는 파트너 기기(예: 스피커, 게임 콘솔 및 TV)가 포함되지 않으므로 해당 기기는 앱 페이지로 이동한 후 '액세스 권한 삭제하기'를 선택하세요. 참고: 웹 플레이어에서 로그아웃되기까지 최대 1 시간이 소요될 수 있습니다. 어디서든 로그아웃하기 100% 오전 12:41 5 월 2 일 화요일 사용 하기 해지 됨 i spotify.com Premium 개인 맞춤 플레이 리스트 • 다운로드 하여 오프라인 에서 듣기 . 언제든 해지 가능 요금제 에 대해 더 알아 보기 구독 중인 Premium 개인 요금제 가 23. 5. 28. 에 만료 됩니다 . 내 라이브러리 의 콘텐츠 를 계속 들으 려면 요금제 를 갱신 하세요 . 프리미엄 갱신 하기 어디 서든 로그 아웃 하기 이 기능 을 사용 하면 모바일 , 태블릿 , 웹 플레이어 , 데스크톱 앱 등 Spotify 에 로그인 된 모든 기기 에서 로그 아 웃할 수 있습니다 . 단 , 여기 에는 파트너 기기 ( 예 : 스피커 , 게임 콘솔 및 TV ) 가 포함 되지 않으므로 해당 기기 는 앱 페이지 로 이동 한 후 ' 액세스 권한 삭제 하기 ' 를 선택 하세요 . 참고 : 웹 플레이어 에서 로그 아웃 되기 까지 최대 1 시간 이 소요될 수 있습니다 . 어디 서든 로그 아웃 하기 100 %",문서 & 정보,문서 & 정보
1_compressed.jpg,"'text' with confidence 100.00%, 'electronics' with confidence 99.42%, 'screenshot' with confidence 98.72%, 'font' with confidence 88.03%, 'design' with confidence 48.92%",shop,,5:07 77 새터 발표.pdf 완료 □ 27/36 학교근처 맛집 ד L 낭만식탁 유야케도쿄 까이식당 사장님돈까스 소 녀방앗간 모미지식당 연어초밥 진돈부리 아콘스 |톨 마더린러베이글 이화당 아콘스톨 밥이꿀바비 꿀장군닭갈비로쭈 영미김밥 소오밥집 유소바 염인동라멘 신기역마라탕 란쥬탕슉 로드샌드위 치훈카츠 포포나무 노란집지팔레트 위샐러듀 카페티아라 어바웃샤브 언니네양식당돈촌동 참 참참 더파니니 팜스힐 주객전도 파란상자 앨리스 그릭데이 솔리드웍스 아이스크림보이 벨라프 라하 와플잇업 베러댄와플 클로버 라이프커피컴 퍼니플라페 낮과밤 너스레 배꽃커피 전티마이 !! AI:D 가 엄선해서 뽑은 최고 맛집!!! 소연 픽! -모미지식당 안녕타코 연어초밥 솔리드웍스 윤서 픽! -까이식당 아콘스톨 유야케도쿄 연어초밥 지영 픽! -연어초밥 낭만식탁 솔리드웍스 언니네양식당 예진 픽! -연어초밥 벨라프라하 와플잇업 유야케도쿄 A 5:07 77 새터 발표 .pdf 완료 □ 27/36 학교 근처 맛집 ד L 낭만 식탁 유야 케 도쿄 까이 식당 사장님 돈까스 소 녀 방앗간 모미지 식당 연어 초밥 진 돈부리 아콘 스 | 톨 마더 린러 베이글 이화 당 아콘 스톨 밥 이 꿀 바비 꿀 장군 닭 갈비 로 쭈 영미 김밥 소오 밥집 유 소바 염 인동 라멘 신기 역 마라 탕 란쥬 탕슉 로드 샌드 위 치훈 카츠 포포 나무 노란 집지 팔레트 위 샐러 듀 카페 티아라 어바웃 샤브 언니네 양식당 돈 촌동 참 참참 더 파니니 팜스 힐 주객 전도 파란 상자 앨리스 그릭 데이 솔리드 웍스 아이스크림 보이 벨라 프 라하 와플 잇업 베 러댄 와플 클로버 라이프 커피 컴 퍼니 플라 페 낮 과 밤 너스레 배꽃 커피 전티 마이 !! AI : D 가 엄선 해서 뽑은 최고 맛집 !!! 소연 픽 ! - 모미지 식당 안녕 타코 연어 초밥 솔리드 웍스 윤서 픽 ! - 까이 식당 아콘 스톨 유야 케 도쿄 연어 초밥 지영 픽 ! - 연어 초밥 낭만 식탁 솔리드 웍스 언니네 양식당 예진 픽 ! - 연어 초밥 벨라 프라하 와플 잇업 유야 케 도쿄 A,문서 & 정보,문서 & 정보
2_compressed.jpg,"'text' with confidence 100.00%, 'electronics' with confidence 99.71%, 'screenshot' with confidence 99.05%, 'font' with confidence 90.89%, 'software' with confidence 88.03%, 'number' with confidence 86.16%, 'web page' with confidence 86.12%, 'website' with confidence 84.76%",other,,"3:29 . LTE 75 Café 페스티벌라이즈드 +가입 ㄴㅂOVI 70 2023.03.07. 12:00 조회 1 만 인기멤버 III MIKA GREGORY PORTER/JUSTIN HURWITZ JAZZ CRUSH/AKMU/TAI VERDES PAUL KIM/THE SOUL REBELS/CONOR MAYNARD MINA OKABE/KIM FEEL/LEE JIN AH BALMING TIGER/EGO APARTMENT DANNY KOO & CHO YOON SEUNG TRIO/SEOK JIMIN TRIO SERGIO MENDES TAEYANG/ROBERT GLASPER/CHRISTOPHER EPIK HIGH/MAX/LOLO ZOUAÏ WOUTER HAMEL/CHRISTIAN KURIA SPANISH HARLEM ORCHESTRA/YOUNGJOO SONG QUARTET SE SO NEON/EUN-CHUL OH EN PARK KIHUN QUINTET DAMIEN RICE AJR/CHRIS BOTTI/CHRISTIAN MCBRIDE'S NEW JAWN SIGRID/CHANG KIHA/BEENZINO JUNG SEUNG HWAN/BOYWITHUKE/KAMAL. JEONG SEWOON/MATT MALTESE/JOEY ALEXANDER JOHN NOH YEONGYEOL KO 1-2/YUNSEOKCHEOL TRIO THE SKA JAZZ UNITY [The 15th Seoul Jazz Festival 2023] 3 차 라인업 공개 15 주년을 맞이한 서울재즈페스티벌 2023. 5/26 Fri 'SJf SEOUL JAZZ 15th FESTIVAL 2023 5/27 3rd Lineup Sat Fri, May 26- Sun, May 28 Olympic Park ticket interpark.com 5/28 ct.. Sun seouljazz.co.kr Prod PRIVATE CUV Pred by And Many More W.CONCEPT. Oli 1 12 [ = 목록으로 가가 cafe.naver.com < 3:29 . LTE 75 Café 페스티벌 라이즈 드 + 가입 ㄴㅂ OVI 70 2023.03.07 . 12:00 조회 1 만 인기 멤버 III MIKA GREGORY PORTER / JUSTIN HURWITZ JAZZ CRUSH / AKMU / TAI VERDES PAUL KIM / THE SOUL REBELS / CONOR MAYNARD MINA OKABE / KIM FEEL / LEE JIN AH BALMING TIGER / EGO APARTMENT DANNY KOO & CHO YOON SEUNG TRIO / SEOK JIMIN TRIO SERGIO MENDES TAEYANG / ROBERT GLASPER / CHRISTOPHER EPIK HIGH / MAX / LOLO ZOUAÏ WOUTER HAMEL / CHRISTIAN KURIA SPANISH HARLEM ORCHESTRA / YOUNGJOO SONG QUARTET SE SO NEON / EUN - CHUL OH EN PARK KIHUN QUINTET DAMIEN RICE AJR / CHRIS BOTTI / CHRISTIAN MCBRIDE'S NEW JAWN SIGRID / CHANG KIHA / BEENZINO JUNG SEUNG HWAN / BOYWITHUKE / KAMAL . JEONG SEWOON / MATT MALTESE / JOEY ALEXANDER JOHN NOH YEONGYEOL KO 1-2 / YUNSEOKCHEOL TRIO THE SKA JAZZ UNITY [ The 15th Seoul Jazz Festival 2023 ] 3 차 라인업 공개 15 주년 을 맞이한 서울 재즈 페스티벌 2023 . 5/26 Fri ' SJf SEOUL JAZZ 15th FESTIVAL 2023 5/27 3rd Lineup Sat Fri , May 26- Sun , May 28 Olympic Park ticket interpark.com 5/28 ct .. Sun seouljazz.co.kr Prod PRIVATE CUV Pred by And Many More W.CONCEPT . Oli 1 12 [ = 목록 으로 가가 cafe.naver.com <",문서 & 정보,문서 & 정보
3_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 98.47%, 'font' with confidence 93.15%, 'design' with confidence 49.56%",shop,,ECC Fitness Center ECC 휘트니스센터 운영 시간 -: OPEN 07:00 / CLOSE 21:00 E: OPEN 09:00 / CLOSE 17:00 입장 마감시간: 월-금 20:20 / 토 16:10 일요일과 공휴일은 운영하지 않으니 이용에 착오 없으시길 바랍니다. Fitness Center O Facility hours MON-FRI: OPEN 07:00 / CLOSE 21:00 Sat: open 09:00 / close 17:00 Last entry time: Mon-Fri 20:20 / Sat: 16:10 Please be informed about the ECC fitness center Opening hours. We are not open on Holidays and Sundays. ECC FITNESS CENTER ECC Fitness Center ECC 휘트니스 센터 운영 시간 - : OPEN 07:00 / CLOSE 21:00 E : OPEN 09:00 / CLOSE 17:00 입장 마감 시간 : 월 - 금 20:20 / 토 16:10 일요일 과 공휴일 은 운영 하지 않으니 이용 에 착오 없으시길 바랍니다 . Fitness Center O Facility hours MON - FRI : OPEN 07:00 / CLOSE 21:00 Sat : open 09:00 / close 17:00 Last entry time : Mon - Fri 20:20 / Sat : 16:10 Please be informed about the ECC fitness center Opening hours . We are not open on Holidays and Sundays . ECC FITNESS CENTER,문서 & 정보,문서 & 정보
4_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 96.85%, 'menu' with confidence 90.56%, 'food' with confidence 47.15%",other,,"< 3:53 모두의 에타 5G 77 이화여대 익명 04/02 15:50 이창섭 사건 조예대 앞에서 두줄로 기다리는 엄청난 수의 벗들을 두고 이창섭 씨가 차타고 사라진 후 이후 벗들이 우르르 달리며 진풍경을 연출한 사건이다 31004 ☆ㅇ 공감 ☆ 스크랩 [곧 종료] 롱치킨버거 2,000 원쿠폰! 오늘은 만나주실 거죠..? 곧 이벤트 종료, ~4/2 까지 익명 1 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 바로 갔어?? 04/02 15:51 익명 2 차 타고 가서 막 벗들이 달려서 따라갔어 04/02 15:51 با 익명 1 ... 아니ㅋㅋㅋㅋㅋㅋ벗둘 귀엽다 창섭씨는 수업 듣느라 힘들었나보다 04/02 15:52 1 익명 댓글을 입력하세요. < 3:53 모두 의 에타 5G 77 이화 여대 익명 04/02 15:50 이창섭 사건 조예 대 앞에서 두줄 로 기다리는 엄청난 수 의 벗 들을 두고 이창섭 씨 가 차 타고 사라진 후 이후 벗 들이 우르르 달리며 진풍경 을 연출한 사건 이다 31004 ☆ ㅇ 공감 ☆ 스크랩 [ 곧 종료 ] 롱 치킨 버거 2,000 원 쿠폰 ! 오늘 은 만나 주실 거죠 .. ? 곧 이벤트 종료 , ~ 4 / 2 까지 익명 1 ㅋ ㅋㅋㅋ ㅋㅋㅋ ㅋㅋㅋ 아니 바로 갔어 ?? 04/02 15:51 익명 2 차 타고 가서 막 벗 들이 달려서 따라 갔어 04/02 15:51 با 익명 1 ... 아니 ㅋㅋㅋ ㅋㅋㅋ 벗둘 귀엽다 창 섭씨 는 수업 듣 느라 힘들었나 보다 04/02 15:52 1 익명 댓글 을 입력 하세요 .",기타,other
5_compressed.jpg,"'text' with confidence 100.00%, 'receipt' with confidence 99.56%",other,,"영수증 상호: 홈즈앤루팡(건대점) 220-13-01767 TEL)02-465-5536 김민기 주소: 서울특별시 광진구 아차산로 241,2 층 테이블번호: 23 주문담당자: 관리자 계산일자:2024-11-19 인쇄일자:2024-11-19 시간:19:31:26 시간:19:31:47 품명 수량 할인 금액 타임 A(고정) 1 36,300 소 계 36,300 매출합계(카드) 36,300 [카드번호] 48902300****半KKK [할부개월] [카드사명] 신한카드 [승인번호] 11492930 [결제금액] 36,300 영수증 상호 : 홈즈 앤 루팡 ( 건대 점 ) 220-13-01767 TEL ) 02-465-5536 김민기 주소 : 서울 특별시 광진구 아차산 로 241,2 층 테이블 번호 : 23 주문 담당자 : 관리자 계산 일자 : 2024-11-19 인쇄 일자 : 2024-11-19 시간 : 19 : 31 : 26 시간 : 19 : 31 : 47 품명 수량 할인 금액 타임 A ( 고정 ) 1 36,300 소 계 36,300 매출 합계 ( 카드 ) 36,300 [ 카드 번호 ] 48902300 **** 半 KKK [ 할부 개월 ] [ 카드 사명 ] 신한 카드 [ 승인 번호 ] 11492930 [ 결제 금액 ] 36,300",예약 & 거래,예약 & 거래
6_compressed.jpg,"'text' with confidence 100.00%, 'receipt' with confidence 99.94%, 'paper' with confidence 87.97%, 'indoor' with confidence 69.37%",animal,,"주문이 접수된 후 즉시 상품준비가 시작되어 취소 및 변경은 불가하며, 제품 준비 완료된 이후 20 분 내 미수령한 경우 상품은 폐기됩니다. 주문번호-672 6 층매점 상품명 상품가격 수량 금액 CGV 콤보 11,000 1 11,000 반반 달콤+바질어니언 1,000 1 1,000 셀프 탄산(M) 0 1 0 셀프 탄산(M) 0 1 0 합계 12,000 CGV 용산아이파크몰(104-81-45690) •토스뱅크/532750******0938 / 일시불 승인번호: 16221914/12,000 원 2024-1219-5553-7370 주문시각: 2024-12-19 14:22 주문 이 접수 된 후 즉시 상품 준비 가 시작 되어 취소 및 변경 은 불가 하며 , 제품 준비 완료된 이후 20 분 내 미수령 한 경우 상품 은 폐기 됩니다 . 주문 번호 -672 6 층 매점 상품명 상품 가격 수량 금액 CGV 콤보 11,000 1 11,000 반반 달콤 + 바질 어니언 1,000 1 1,000 셀프 탄산 ( M ) 0 1 0 셀프 탄산 ( M ) 0 1 0 합계 12,000 CGV 용산 아이 파크 몰 ( 104-81-45690 ) • 토스 뱅크 / 532750 ****** 0938 / 일시불 승인 번호 : 16221914 / 12,000 원 2024-1219-5553-7370 주문 시각 : 2024-12-19 14:22",예약 & 거래,예약 & 거래
7_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 99.23%, 'font' with confidence 90.21%, 'number' with confidence 88.14%",other,,"8:52 ← 주문내역 • 음료선택 : 쿨피스 930ml • 단무지 : 단무지 X 21,000 원 89 c Q p 결제금액 주문금액 21,000 원 배달팁 3,300 원 한정혜택! 모든음식 할인쿠폰 -4,000 원 총 결제금액 결제방법 20,300 원 신용/체크카드 신한카드 배달주소 서울 서대문구 대현동 11-1 아산공학관 1 층 (도로명) 서울 서대문구 이화여대길 52 아산공학관 1 층 전화번호 050-****_**** (안심번호) 010-3593-2428 가게 사장님께 같은 메뉴 담기 8:52 ← 주문 내역 • 음료 선택 : 쿨피스 930ml • 단무지 : 단무지 X 21,000 원 89 c Q p 결제 금액 주문 금액 21,000 원 배달 팁 3,300 원 한정 혜택 ! 모든 음식 할인 쿠폰 -4,000 원 총 결제 금액 결제 방법 20,300 원 신용 / 체크 카드 신한 카드 배달 주소 서울 서대문구 대현동 11-1 아산 공학관 1 층 ( 도로명 ) 서울 서대문구 이화 여대 길 52 아산 공학관 1 층 전화 번호 050 - **** _ **** ( 안심 번호 ) 010-3593-2428 가게 사장님 께 같은 메뉴 담기",예약 & 거래,예약 & 거래
8_compressed.jpg,"'text' with confidence 100.00%, 'screenshot' with confidence 98.18%, 'font' with confidence 92.01%, 'number' with confidence 90.71%",other,,"7:56 100 ← 티켓 예매 상세내역 < 예매일 예매번호 티켓 예매 상세내역 2024.09.17 (화) T2556007750 T2556007751 (20H) 예매자명 문재원 예매상태 예매완료 예매경로 모바일 예매 취소가능일시 2024.09.23(월) 14:30 까지 티켓 수령방법 수령방법 현장수령 금액 수수료 결제정보 26,000 원 2,000 원 배송료 0 원 할인 0 원 할인쿠폰 사용하지 않음 총 결제금액 28,000 원 결제상세정보 결제방법 무통장 입금 = Q Q 홈 카테고리 검색 마이 홈 카테고리 검색 마이 7:56 100 ← 티켓 예매 상세 내역 < 예매 일 예매 번호 티켓 예매 상세 내역 2024.09.17 ( 화 ) T2556007750 T2556007751 ( 20H ) 예매 자명 문재원 예매 상태 예매 완료 예매 경로 모바일 예매 취소 가능일 시 2024.09.23 ( 월 ) 14:30 까지 티켓 수령 방법 수령 방법 현장 수령 금액 수수료 결제 정보 26,000 원 2,000 원 배송료 0 원 할인 0 원 할인 쿠폰 사용 하지 않음 총 결제 금액 28,000 원 결제 상세 정보 결제 방법 무통장 입금 = Q Q 홈 카테고리 검색 마이 홈 카테고리 검색 마이",예약 & 거래,예약 & 거래
9_compressed.jpg,"'text' with confidence 100.00%, 'receipt' with confidence 99.56%, 'ticket' with confidence 84.43%, 'indoor' with confidence 69.09%",animal,,"점 대표자명: 장혜란 포 목동파리공원점 사업자 NO: 1171339894(Tel:02-2645-8497) 주 소 •서울특별시 양천구 목동서로 57 (목동, 현대파리지앙) 담당자: 목동파리공원점 KIOSK NO 91 판매일자: 2023-10-09 09:17BILL NO100008 [WIFI] ID: 할리스 목동파리공원점 PW: hollys230402 [화장실] 1 층: 3084 2 층: 6587- [주차안내] 8,000 원 이상 구매 시, 주차 2 시간 무료 ITEM QTY D/C AMT ER) 카페아메리카노 1 0 4.500 부가세 과세 물품가액 4.090 상품에 포함된 부가세 410 *표시는 면세상품 입니다. 총매출액 4.500 합계금액 4.500 [신용카드] 4,500 <<CROWN 적립 >> [회원명] 문원 카드번호 1201200******8499 [적립 CROWN]1 [누적 CROWN]0 <<신한카드 - 체크 카드 승인 >> [카드번호] 489023******1564 [카드사] 신한카드 - [매 입사] 신한카드 [승인금액]4,500 [승인번호]06927917 [승인일시]2023-10-09 09:17:31 번호 : 108 [고객용 | 점 대표자 명 : 장혜란 포 목동 파리 공원 점 사업자 NO : 1171339894 ( Tel : 02-2645-8497 ) 주 소 • 서울 특별시 양천구 목동 서로 57 ( 목동 , 현대 파리지앙 ) 담당자 : 목동 파리 공원 점 KIOSK NO 91 판매 일자 : 2023-10-09 09 : 17BILL NO100008 [ WIFI ] ID : 할리스 목동 파리 공원 점 PW : hollys230402 [ 화장실 ] 1 층 : 3084 2 층 : 6587- [ 주차 안내 ] 8,000 원 이상 구매 시 , 주차 2 시간 무료 ITEM QTY D / C AMT ER ) 카페 아메리카노 1 0 4.500 부가세 과세 물품 가액 4.090 상품 에 포함 된 부가세 410 * 표시 는 면세 상품 입니다 . 총 매출액 4.500 합계 금액 4.500 [ 신용 카드 ] 4,500 << CROWN 적립 >> [ 회원 명 ] 문원 카드 번호 1201200 ****** 8499 [ 적립 CROWN ] 1 [ 누적 CROWN ] 0 << 신한 카드 - 체크 카드 승인 >> [ 카드 번호 ] 489023 ****** 1564 [ 카드사 ] 신한 카드 - [ 매 입사 ] 신한 카드 [ 승인 금액 ] 4,500 [ 승인 번호 ] 06927917 [ 승인일 시 ] 2023-10-09 09:17:31 번호 : 108 [ 고객 용 |",문서 & 정보,문서 & 정보
